# hard/0924_quicksort.X, data RAM 0x100-0x1FF, 16 bytes per row
# MDB simulator, halted at 0x0020 (MAIN): data loader done, sort not started
# cycles: 1796 (reset -> MAIN)
e2   5d   2b   ea   a7   76   19   b8   17   da   06   0e   69   93   54   1e
4f   8f   aa   c1   55   d9   59   b2   20   c2   65   c4   f9   97   26   37
0f   e8   73   ac   1b   de   6a   7f   71   f4   5b   06   2b   09   3c   ad
c8   c4   2a   07   7e   79   65   6a   07   e1   e2   c4   0c   f7   73   2b
fe   32   82   e2   3d   14   4b   de   e8   f6   e7   c6   87   21   57   dc
5c   a5   8b   fd   cf   b9   9b   c3   78   e7   3a   6c   e3   6e   cf   2b
0d   85   eb   2c   79   62   ee   ca   6e   81   ee   c8   a9   fd   41   2a
53   24   d5   55   5d   4c   61   ba   ee   a2   ac   47   4c   70   93   28
69   8a   6e   9e   81   5c   3e   35   ff   25   af   e8   26   91   de   5f
57   14   6c   e2   ef   62   66   29   7d   c8   0b   ac   20   eb   e3   bd
0d   eb   75   08   d9   f0   ac   b3   c8   b7   85   6a   62   3c   13   69
c6   eb   d5   fc   7e   c6   54   df   10   23   88   27   8e   79   66   98
29   fb   ba   1b   54   16   54   9f   e2   36   e9   06   ce   5d   85   7b
95   4c   1e   c8   97   c5   a7   23   bb   94   68   42   97   5a   21   45
a2   40   ac   e1   0d   ea   8b   5c   51   cd   35   dc   23   21   5a   73
bf   e4   fb   1b   c5   9c   2c   e5   ee   8a   84   a3   fa   d3   92   00
